sku,item_name,brand_name,product_category,trade,unit,ean,quantity
PHT-8EFVLM,Wickelfalzrohr Edelstahl — DN 180 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-6SH5QF,Wickelfalzrohr Edelstahl — DN 180 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-1BH25F,"Wickelfalzrohr Edelstahl — DN 200 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-RXVZP8,Wickelfalzrohr Edelstahl — DN 200 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-QMDC5E,Wickelfalzrohr Edelstahl — DN 200 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-WAPNXL,"Wickelfalzrohr Edelstahl — DN 224 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-KB9XKL,Wickelfalzrohr Edelstahl — DN 224 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-HPE32C,Wickelfalzrohr Edelstahl — DN 224 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-8D231D,"Wickelfalzrohr Edelstahl — DN 250 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-4NY72V,Wickelfalzrohr Edelstahl — DN 250 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-307LNT,Wickelfalzrohr Edelstahl — DN 250 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-0F4E84,"Wickelfalzrohr Edelstahl — DN 280 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-RRN3PG,Wickelfalzrohr Edelstahl — DN 280 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-Q3CVXN,Wickelfalzrohr Edelstahl — DN 280 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-N76422,"Wickelfalzrohr Edelstahl — DN 300 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-US3JAQ,Wickelfalzrohr Edelstahl — DN 300 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-W1H7J6,Wickelfalzrohr Edelstahl — DN 300 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-2RNHCN,"Wickelfalzrohr Edelstahl — DN 315 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-NZGZTZ,Wickelfalzrohr Edelstahl — DN 315 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-MPQB9B,Wickelfalzrohr Edelstahl — DN 315 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-5MPVUU,"Wickelfalzrohr Edelstahl — DN 355 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-VBP7G3,Wickelfalzrohr Edelstahl — DN 355 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-WMC637,Wickelfalzrohr Edelstahl — DN 355 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-KCVAY9,"Wickelfalzrohr Edelstahl — DN 400 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-TR5Y5K,Wickelfalzrohr Edelstahl — DN 400 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-VEATTM,Wickelfalzrohr Edelstahl — DN 400 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-QB4LMH,"Wickelfalzrohr Edelstahl — DN 450 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-0MJMMU,Wickelfalzrohr Edelstahl — DN 450 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-1XM6ME,Wickelfalzrohr Edelstahl — DN 450 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-9YC49L,"Wickelfalzrohr Edelstahl — DN 500 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-SW203M,Wickelfalzrohr Edelstahl — DN 500 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-R86MJH,Wickelfalzrohr Edelstahl — DN 500 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-QYYRGH,"Wickelfalzrohr Edelstahl — DN 560 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-BRE9E1,Wickelfalzrohr Edelstahl — DN 560 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-A2SJMH,Wickelfalzrohr Edelstahl — DN 560 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-NNX8VM,"Wickelfalzrohr Edelstahl — DN 630 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-9PT92V,Wickelfalzrohr Edelstahl — DN 630 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-8DQ4LP,Wickelfalzrohr Edelstahl — DN 630 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-ZGNSWM,"Wickelfalzrohr Edelstahl — DN 710 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-ZQTXRF,Wickelfalzrohr Edelstahl — DN 710 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-YEC9W7,Wickelfalzrohr Edelstahl — DN 710 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-J9GC7A,"Wickelfalzrohr Edelstahl — DN 800 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-VYBFPR,Wickelfalzrohr Edelstahl — DN 800 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-XL9WSM,Wickelfalzrohr Edelstahl — DN 800 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-83W7T5,"Wickelfalzrohr Edelstahl — DN 900 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-2GA8Q5,Wickelfalzrohr Edelstahl — DN 900 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-0T99XV,Wickelfalzrohr Edelstahl — DN 900 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-HEWDJ3,"Wickelfalzrohr Edelstahl — DN 1000 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-1R2LEN,Wickelfalzrohr Edelstahl — DN 1000 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-02UHVJ,Wickelfalzrohr Edelstahl — DN 1000 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-DJ82PF,"Wickelfalzrohr Edelstahl — DN 1120 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-4XKUH0,Wickelfalzrohr Edelstahl — DN 1120 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-39Q8U0,Wickelfalzrohr Edelstahl — DN 1120 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-B2AYLW,"Wickelfalzrohr Edelstahl — DN 1250 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-TMJCF2,Wickelfalzrohr Edelstahl — DN 1250 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-UXRDYN,Wickelfalzrohr Edelstahl — DN 1250 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-Q02BY8,Flexrohr Aluminium (Alu-Flex) — DN 80 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-SGLK9H,Flexrohr Aluminium (Alu-Flex) — DN 80 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-PW160E,Flexrohr Aluminium (Alu-Flex) — DN 80 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-M2M83M,Flexrohr Aluminium (Alu-Flex) — DN 100 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-LLPRNY,Flexrohr Aluminium (Alu-Flex) — DN 100 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-5WXHMS,Flexrohr Aluminium (Alu-Flex) — DN 100 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-MTUCQH,Flexrohr Aluminium (Alu-Flex) — DN 125 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-NTXMK8,Flexrohr Aluminium (Alu-Flex) — DN 125 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-0V0KNA,Flexrohr Aluminium (Alu-Flex) — DN 125 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-EM232U,Flexrohr Aluminium (Alu-Flex) — DN 150 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-CA354K,Flexrohr Aluminium (Alu-Flex) — DN 150 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-NWF3QG,Flexrohr Aluminium (Alu-Flex) — DN 150 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-H00PUM,Flexrohr Aluminium (Alu-Flex) — DN 160 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-F2GMM4,Flexrohr Aluminium (Alu-Flex) — DN 160 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-ARM79Z,Flexrohr Aluminium (Alu-Flex) — DN 160 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-CKF2UQ,Flexrohr Aluminium (Alu-Flex) — DN 200 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-ALYG19,Flexrohr Aluminium (Alu-Flex) — DN 200 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-GX4SED,Flexrohr Aluminium (Alu-Flex) — DN 200 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-KDJACF,Flexrohr Aluminium (Alu-Flex) — DN 250 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-JK13MN,Flexrohr Aluminium (Alu-Flex) — DN 250 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-79H941,Flexrohr Aluminium (Alu-Flex) — DN 250 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-85QMJH,Flexrohr Aluminium (Alu-Flex) — DN 315 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-61VEY2,Flexrohr Aluminium (Alu-Flex) — DN 315 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-KL7HJG,Flexrohr Aluminium (Alu-Flex) — DN 315 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-PCLTT7,Iso-Flexrohr gedämmt — DN 80 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-M7Y4NN,Iso-Flexrohr gedämmt — DN 80 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-LTAXX0,Iso-Flexrohr gedämmt — DN 80 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-Q5HDEF,Iso-Flexrohr gedämmt — DN 100 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-PBJJGL,Iso-Flexrohr gedämmt — DN 100 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-V2YKGE,Iso-Flexrohr gedämmt — DN 100 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-QWHSW9,Iso-Flexrohr gedämmt — DN 125 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-RJZ1ZG,Iso-Flexrohr gedämmt — DN 125 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-GFMJL0,Iso-Flexrohr gedämmt — DN 125 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-BE8FLL,Iso-Flexrohr gedämmt — DN 150 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-9GW6VH,Iso-Flexrohr gedämmt — DN 150 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-UDXTWE,Iso-Flexrohr gedämmt — DN 150 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-L3HU0M,Iso-Flexrohr gedämmt — DN 160 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-HSQPJN,Iso-Flexrohr gedämmt — DN 160 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-TYEQ9T,Iso-Flexrohr gedämmt — DN 160 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-9UAAT6,Iso-Flexrohr gedämmt — DN 200 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-7JCDK5,Iso-Flexrohr gedämmt — DN 200 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-JX7MQF,Iso-Flexrohr gedämmt — DN 200 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-N71651,Iso-Flexrohr gedämmt — DN 250 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-MRJQ3A,Iso-Flexrohr gedämmt — DN 250 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-AP0Y0F,Iso-Flexrohr gedämmt — DN 250 × 10 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-5FGGRB,Iso-Flexrohr gedämmt — DN 315 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-2YCA3Q,Iso-Flexrohr gedämmt — DN 315 × 6 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
